PERIODO;Industrias manufactureras;Comercio y reparacion de automotores y motocicletas;Transporte y almacenamiento;Actividades de alojamiento y comidas;Informacion y comunicacion;Actividades inmobiliarias;Actividades cientificas y tecnicas;Servicios administrativos y de apoyo;Ensenanza;Atencion de salud humana y asistencia social
2016-01-01;93.82;98.72;87.55;88.13;108.17;96.07;87.24;95.89;97.84;95.8
2016-02-01;93.05;97.76;88.39;86.65;106.58;94.69;77.73;95.27;96.11;94.07
2016-03-01;93.45;96.3;86.49;86.2;115;90.46;77.15;100.9;89.78;94.94
2016-04-01;92.54;95.2;85.67;83.06;114.72;89.32;77.22;95.3;88.44;94.86
2016-05-01;92.2;94.6;85.16;82.67;114.74;88.82;76.42;98.23;95.28;95.36
2016-06-01;91.44;93.36;84.97;82.07;124.99;88.45;75.38;95.83;95.32;94.42
2016-07-01;91.57;93.33;84.66;82.37;124.42;87.68;73.86;124.49;94.73;94.14
2016-08-01;92.06;93.21;81.52;82.74;132.39;87.29;74.25;94.4;94.6;93.22
2016-09-01;91.87;92.58;81.67;92.9;131.99;86.51;74.25;97.54;93.69;91.32
2016-10-01;91.76;91.44;81.84;94.7;132.88;85.08;76.52;100.84;94.69;92.05
2016-11-01;92.01;91.84;81.85;94.35;124.72;85.88;76.52;89.04;94.14;91.28
2016-12-01;91.95;92.09;81.92;93.48;121.43;84.28;76.52;87.65;94.21;90.83
2017-01-01;91.83;92.15;80.32;93.53;118.99;83.88;74.58;92.45;93.99;91.63
2017-02-01;91.54;91.43;79.97;94.82;117.31;84.37;75.53;90.99;93.38;91.35
2017-03-01;91.74;90.2;78.43;94.19;115.31;82.21;75.92;92.49;85.87;89.46
2017-04-01;92.36;90.25;78.5;93.14;113.82;82.97;75.92;93.94;85.79;89.55
2017-05-01;92.44;90.31;79.04;92.54;111.84;82.04;75.52;92.59;94.96;89.05
2017-06-01;92.66;90.3;78.74;91.95;111.61;82.1;75.1;89.8;93.44;89.83
2017-07-01;93.1;90.06;78.82;91.03;110.68;82.41;75.1;91.01;92.99;88.82
2017-08-01;93.08;91.02;78.72;89.61;110.28;80.78;74.45;93.41;92.07;88.69
2017-09-01;93.81;91.48;78.32;90.12;107.63;81.23;74.45;92.55;92.71;88.91
2017-10-01;94.14;90.85;78.83;90.68;106.67;80.42;74.48;92.56;93.38;88.4
2017-11-01;93.8;90.81;78.69;88.91;105.95;80.38;74.91;93.35;93.38;86.77
2017-12-01;93.84;91.9;78.65;88.59;105.42;80.46;74.5;94.7;93.71;86.4
2018-01-01;93.49;89.16;78.12;89.3;104.53;81.19;74.5;93.51;92.92;86.26
2018-02-01;92.82;89.54;78.17;87.81;102.12;80.8;74.91;93.93;92.44;87.92
2018-03-01;92.74;89.13;78.2;88.58;99.11;81.34;75.52;91.94;91.16;87.77
2018-04-01;93.16;89.45;77.96;88.48;98.97;82.32;77.54;90.84;92.83;87.22
2018-05-01;92.99;89.73;78.28;89.37;100.48;82.1;76.45;91.03;93.26;87.38
2018-06-01;93.34;89.45;78.14;89.74;101.33;82.7;75.75;92.89;93.25;88.63
2018-07-01;93.48;89.54;78.43;89.93;103.35;82.48;76.57;93.66;93.54;88.74
2018-08-01;93.27;89.65;78.99;90.17;99.66;82.86;76.92;94.26;92.33;88.4
2018-09-01;92.92;88.88;79.12;89.93;100.88;82.71;76.05;93.04;92.54;89.29
2018-10-01;92.64;88.19;79.06;90.2;101.66;82.59;76.47;91.53;92.87;89.63
2018-11-01;92.43;88.47;78.86;89.67;101.1;82.03;76.6;90.77;92.56;89.71
2018-12-01;92.31;88.77;77.81;88.69;102.2;81.38;76.6;90.49;92.17;88.96
2019-01-01;91.7;89.21;78.8;88.13;101.2;81.43;76.8;90.84;92.41;89.93
2019-02-01;91.55;89.75;78.87;88.21;96.07;81.71;77.1;90.41;91.33;91.07
2019-03-01;90.96;90.05;78.31;87.65;96.12;82.08;76.8;90.19;90.06;91.27
2019-04-01;91.03;90.09;79.78;87.83;96.33;82.48;54.83;89.07;99.32;93
2019-05-01;90.84;90.23;79.66;87.82;99.36;82.73;38.7;86.06;99.29;92.4
2019-06-01;90.72;89.29;79.58;86.81;98.85;81.74;39.06;87.74;96.98;94.17
2019-07-01;90.63;89.55;79.42;85.82;99.31;81.49;39.06;89.08;96.99;93.56
2019-08-01;90.34;88.99;79.7;85.24;101.01;82.41;38.91;87.31;96.92;93.65
2019-09-01;90.03;89.01;79.52;82.7;100.21;82.36;37.94;89.09;96.69;93.06
2019-10-01;89.78;88.65;79.62;81.26;100.86;82.3;38.32;89.3;96.8;91.41
2019-11-01;89.58;89.19;78.96;81.9;99.86;82.27;38.39;87.23;96.54;90.95
2019-12-01;89.38;88.36;79.18;80.24;101.45;79.26;38.72;87.27;96.27;90.72
2020-01-01;87.39;87.58;79.22;80.32;101.22;78.59;37.8;85.94;95.85;91.31
2020-02-01;87.18;87.14;79.12;79.56;100.6;79.61;37.66;85.25;95.29;91.07
2020-03-01;86.95;87.47;78.9;78.69;101.14;79.61;37.87;84.82;93.95;90.72
2020-04-01;85.95;86.2;71.56;75.68;97.6;77.98;37.46;79.97;93.3;89.89
2020-05-01;82.84;83.72;70.39;72.32;96.62;76.32;37.32;75.39;92.83;84.34
2020-06-01;81.56;79.47;70.04;66.47;96.71;76.63;36.96;73.01;97.85;81.69
2020-07-01;81.5;78.17;69.42;64.68;96;76.04;36.96;72.73;96.02;81.12
2020-08-01;81.44;77.58;69.8;63.77;96.79;76.59;36.96;72.92;92.45;80.02
2020-09-01;81.24;77.6;69.74;62.67;97.28;78.03;36.96;73.18;91.88;78.88
2020-10-01;80.96;77.98;68.64;59.73;97.38;77.64;35.13;73.7;91.16;79.15
2020-11-01;80.82;78.34;69.16;59.95;97.82;76.49;35.72;73.53;90.97;78.01
2020-12-01;79.94;77.02;70.44;58.45;98.04;76.16;35.79;69.63;90.78;75.1
2021-01-01;80.29;76.81;69.97;58.31;97.79;65.32;35.39;68.9;91.25;77.86
2021-02-01;80.11;76.75;69.66;54.14;96.71;65.49;35.59;68.26;91.29;77.97
